design,per,X,Median,Mean,Min,Max,X95CIlo,X95CIup,rBias,rRMSE
SD1,S1,Q,0.9965195,1.008800544,0.724698,2.08151,0.997899393496515,1.01970169450348,0.008800544,0.124555034416743
SD1,S1,Vp,1.00336,0.998914536,0.771328,1.14076,0.993741538236308,1.00408753376369,-0.001085464,0.0589682260599384
SD1,S1,Ka,0.9902965,1.002070686,0.746386,1.37934,0.993525770738609,1.01061560126139,0.002070686,0.097411018959592
SD1,S1,BCL,0.990214,0.99130333,0.809826,1.20858,0.985457147746239,0.997149512253761,-0.00869667,0.0671958737266954
SD1,S1,BV,1.079205,1.07545143,0.537598,1.69815,1.06143639348923,1.08946646651077,0.07545143,0.176657174179171
SD1,S1,BQ,1.13848,1.214251588,0.357593,3.54668,1.1731270914934,1.2553760845066,0.214251588,0.515355553435431
SD1,S1,BVp,1.018515,1.019454678,0.663482,1.47425,1.00987982305175,1.02902953294825,0.019454678,0.110848119419835
SD1,S1,BKa,0.957363,0.95714089,0.434539,1.50122,0.943782833765483,0.970498946234517,-0.04285911,0.158163525047585
SD1,S1,RUV,1.1118,1.115605398,0.873445,1.57246,1.11035111616885,1.12085967983115,0.115605398,0.130195160621207
SD1,SL1,CL,1.006285,1.005901608,0.882571,1.10251,1.00307654015202,1.00872667584798,0.005901608,0.0327345464704187
SD1,SL1,V,1.107335,1.165161582,0.635144,2.21553,1.14095801049571,1.18936515350429,0.165161582,0.321519208734293
SD1,SL1,Q,1.014055,1.07978589,0.327654,6.9797,1.04379887755672,1.11577290244328,0.0797858900000001,0.417843135225072
SD1,SL1,Vp,0.963804,0.919240026,0.268493,1.22131,0.905354138280687,0.933125913719313,-0.0807599740000001,0.177676502705107
SD1,SL1,Ka,1.07229,1.104993108,0.605309,1.96932,1.08437338567236,1.12561283032764,0.104993108,0.257396406260289
SD1,SL1,BCL,0.987913,0.988381388,0.806824,1.29388,0.982511523516297,0.994251252483703,-0.011618612,0.0679020430676132
SD1,SL1,BV,1.05131,1.066987846,0.226275,1.74978,1.04460253445737,1.08937315754263,0.066987846,0.26377988211571
SD1,SL1,BQ,1.35696,1.467536908,0.01,4.1704,1.41306185538541,1.52201196061459,0.467536908,0.777218652814565
SD1,SL1,BVp,1.05712,1.083237086,0.494196,2.29824,1.06518077819788,1.10129339380212,0.083237086,0.221989358499046
SD1,SL1,BKa,1.02515,1.0048748254,0.0492187,1.87961,0.981016380972979,1.02873326982702,0.0048748254,0.271965667761171
SD1,SL1,RUV,1.60053,1.59790458,1.01287,2.07466,1.58401449251253,1.61179466748747,0.597904580000001,0.61850772510212
SD1,SL2,CL,1.01239,1.012926052,0.934351,1.1116,1.01019172324091,1.01566038075909,0.012926052,0.0337383527752023
SD1,SL2,V,1.41944,1.478975432,0.59107,2.62677,1.43663718742245,1.52131367657755,0.478975432,0.679900102183234
SD1,SL2,Q,1.01886,36.2527496428,0.0191025,17493.7,-32.3163820013643,104.821881286964,35.2527496428,782.298029511753
SD1,SL2,Vp,0.7948815,0.7384606834,0.01,1.28022,0.712377443403023,0.764543923396977,-0.2615393166,0.395951271637167
SD1,SL2,Ka,1.371115,1.366149626,0.555282,2.17686,1.33512838211915,1.39717086988085,0.366149626,0.508988431315736
